Área do balão na foto (cm^2),Peso real do balão (gramas)
52.378387653468764,114
51.36508364250093,114
49.765795860777274,114
26.79675025790708,59
29.927117594552342,59
27.81855682206038,59
58.97909984309191,235
55.2775726261647,235
63.85884141872497,235
59.984943546674145,235
121.25372383103706,535
123.03019364668852,535
124.16769031959898,535
122.83437970447345,535
88.91761220335059,402
90.55094151697965,402
90.68377080760379,402
172.45603032727018,917
148.1918782091889,917
164.6986407900197,917
173.01414900253553,917
76.22327047565437,380
80.20268446692988,380
86.76445110991448,380
86.4245062804424,380
90.90471560439178,380
123.14900081019371,675
128.03452071007058,675
122.34643726540197,675
132.745891086334,675
136.30671866049252,675
134.33474775269596,920
143.052917054986,920
163.25543414616956,920
169.2461925750617,920
168.76651106151994,920
166.45204423039647,920
145.14699126011533,861
138.52265710805105,861
142.12665058744602,861
163.83952550393468,861
168.55071201924272,861
164.26187610175083,861
138.64547752446202,808
150.09174696905094,808
154.00554974206167,808
134.11131549902768,773
139.68144023851085,773
145.85312949825445,773
138.9924028887187,773
147.22753190799128,773
151.3800167905128,773
225.5889814741821,1464
217.2860472598234,1464
229.0777546909675,1464
234.71347429907618,1464
176.01360383870696,1262
205.36748896663306,1262
207.3788785084325,1262
220.60682064524434,1262
221.6301848637904,1262
228.91263260787332,1262
172.6960003300398,1046
167.82406378384962,1046
174.4836810400179,1046
181.6234169605548,1046
189.80592624057527,1046
156.76080046669404,1099
186.99094752696143,1099
202.07016590821667,1099
213.3318274833837,1099
208.52852248032576,1099
183.96526183857137,1334
206.18566169222657,1334
198.1436455710527,1334
211.648772873187,1334
236.97831865036574,1334
194.81424589046284,1170
215.71582101048116,1170
210.21781476542984,1170
214.83568723763221,1170
222.01226731358085,1170
271.36389856853134,2109
296.33204869231423,2109
326.2456547112924,2109
328.01920565140966,2109
229.4069538649557,1813
262.30386637712206,1813
281.6967995096353,1813
242.9328027514826,1788
261.7798763799457,1788
282.4834752107049,1788
269.8600964696992,1788
283.51044199754824,1788
272.5313355973615,1736
262.27341208439316,1736
279.3579972652248,1736
288.037982793593,2248
309.6831305744226,2248
324.379145050628,2248
330.74548839033633,2248
221.85962484403748,1598
220.33859155424497,1598
239.37999546115302,1598
249.19769577680063,1598
258.1448226691966,1598
114.3589850942994,634
130.6757924891177,634
133.50662361311439,634
136.98863854475772,634
75.06009067148221,314
79.94901800762884,314
82.95978167377922,314
282.25857143119845,1688
261.4994312054141,1688
108.47115163994704,477
114.12735545606836,477
105.44732253736984,477
119.25739182071906,477
117.96748866266788,477
296.566082847771,1990
348.754210753839,1990
